epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1157.74,1.25586,1.58976,1.26572,0.49626,0.3498,0.34993,0.22987,1.33025,1.65424,1.28271,0.0099973,0.00333243,0.0099973,0.00333243,0.0099973,0.00333243,0.0099973,0.00333243
2,2250.52,1.36984,1.86617,1.34835,0.51707,0.34053,0.35034,0.23111,1.31787,1.63215,1.29345,0.0199577,0.00665257,0.0199577,0.00665257,0.0199577,0.00665257,0.0199577,0.00665257
3,3286.81,1.4296,2.01673,1.39596,0.4897,0.32853,0.3342,0.21954,1.32875,1.66657,1.32038,0.0298785,0.0099595,0.0298785,0.0099595,0.0298785,0.0099595,0.0298785,0.0099595
4,4324.36,1.4342,2.01811,1.40458,0.53124,0.36402,0.37982,0.25363,1.27517,1.53312,1.27859,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,5367.19,1.38363,1.8952,1.36763,0.54588,0.38806,0.40618,0.27565,1.24226,1.46725,1.25095,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,6402.81,1.36049,1.83711,1.35015,0.56148,0.3962,0.42458,0.29079,1.22063,1.42135,1.23541,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,7441.93,1.34392,1.80123,1.33767,0.56668,0.40771,0.43407,0.29869,1.20931,1.3972,1.22636,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,8475.56,1.33635,1.77896,1.33159,0.58508,0.4034,0.43834,0.30263,1.20175,1.38606,1.22081,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,9513.9,1.3288,1.75713,1.32429,0.56735,0.41259,0.44092,0.30477,1.1972,1.37885,1.21684,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,10550.2,1.32294,1.74433,1.32064,0.57426,0.41223,0.44385,0.30721,1.19411,1.37439,1.21414,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
11,11584.1,1.31984,1.73859,1.31753,0.56344,0.4181,0.44512,0.3084,1.19088,1.3727,1.21174,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
12,12622.3,1.31641,1.72829,1.3158,0.57203,0.41649,0.44645,0.30977,1.18867,1.37188,1.20968,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
13,13659.8,1.31483,1.7226,1.31356,0.57475,0.41699,0.44803,0.31135,1.18666,1.37151,1.20806,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
14,14697.1,1.31285,1.71627,1.31086,0.58303,0.41522,0.44896,0.31213,1.18483,1.37047,1.2067,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
15,15737.8,1.30834,1.71382,1.31044,0.58398,0.41614,0.45103,0.31318,1.18376,1.36782,1.20555,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
16,16778.6,1.30849,1.70746,1.30935,0.57927,0.41677,0.45153,0.3138,1.18225,1.36503,1.20422,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
17,17813.6,1.30856,1.7029,1.30649,0.58407,0.41896,0.45379,0.31552,1.1809,1.36238,1.20315,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
18,18852.4,1.30632,1.70037,1.3066,0.58439,0.42025,0.4549,0.31635,1.18004,1.35881,1.20218,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634
19,19889.2,1.30698,1.70037,1.30579,0.58958,0.41895,0.45612,0.31731,1.17958,1.35502,1.20157,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
20,20923.0,1.30524,1.69764,1.3046,0.58517,0.4228,0.45824,0.31905,1.17802,1.35072,1.19995,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238
21,21960.7,1.30486,1.69892,1.30533,0.58673,0.42327,0.45944,0.31981,1.17721,1.34688,1.19882,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
22,22997.8,1.30474,1.69541,1.30403,0.58918,0.42501,0.46046,0.32035,1.17626,1.34341,1.19788,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842
23,24031.9,1.30346,1.69339,1.30436,0.58839,0.42548,0.46115,0.32058,1.17539,1.34118,1.19735,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644
24,25070.7,1.30338,1.68863,1.30334,0.59018,0.42677,0.46166,0.32161,1.17555,1.33797,1.19709,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446
25,26106.5,1.3025,1.68973,1.30227,0.59035,0.42801,0.46292,0.32217,1.17439,1.33458,1.19589,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248
26,27145.6,1.30235,1.68747,1.30216,0.59194,0.4277,0.46358,0.32245,1.17352,1.33172,1.19533,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
27,28180.2,1.30155,1.68629,1.30105,0.59947,0.42502,0.46409,0.32348,1.17307,1.32839,1.195,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852
28,29214.1,1.30062,1.68734,1.30196,0.59641,0.42686,0.46501,0.32408,1.17356,1.32649,1.19509,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654
29,30252.3,1.3026,1.6833,1.30217,0.59477,0.42672,0.46571,0.32451,1.1733,1.32428,1.19457,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456
30,31288.6,1.29991,1.68348,1.30106,0.58869,0.4306,0.46565,0.32466,1.17302,1.3229,1.19394,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258
31,32328.7,1.3013,1.68266,1.30098,0.58686,0.43239,0.46558,0.32467,1.17278,1.32221,1.19343,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
32,33370.8,1.30084,1.68424,1.3016,0.59345,0.43009,0.46693,0.32583,1.1723,1.31999,1.19333,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862
33,34407.8,1.30127,1.68188,1.30261,0.58892,0.43272,0.46789,0.32679,1.17292,1.31765,1.19381,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664
34,35437.1,1.29834,1.68052,1.30021,0.59141,0.43232,0.46865,0.32727,1.1724,1.31602,1.19323,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466
35,36474.5,1.30124,1.68069,1.30102,0.58889,0.43406,0.46943,0.32753,1.17169,1.31505,1.19248,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268
36,37511.6,1.29944,1.6789,1.30115,0.58656,0.43471,0.46921,0.32763,1.17183,1.31434,1.19259,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
37,38542.6,1.29814,1.67789,1.29912,0.59161,0.43224,0.46976,0.32811,1.17237,1.31314,1.19276,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872
38,39578.1,1.29932,1.67832,1.30027,0.59126,0.4332,0.47019,0.329,1.17191,1.31184,1.19259,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674
39,40613.9,1.30046,1.67907,1.30053,0.57844,0.43881,0.47008,0.32915,1.17161,1.31142,1.19242,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476
40,41655.2,1.29789,1.67834,1.29892,0.58053,0.43835,0.47031,0.32869,1.17132,1.3112,1.19237,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278
41,42691.4,1.29865,1.67621,1.30003,0.58898,0.43555,0.47046,0.32823,1.17107,1.31021,1.19215,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
42,43732.9,1.2978,1.67484,1.29945,0.58959,0.43596,0.47113,0.32866,1.17003,1.30906,1.19142,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882
43,44768.0,1.29806,1.67522,1.29796,0.58645,0.43786,0.47102,0.32885,1.16971,1.30927,1.1912,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684
44,45807.5,1.29704,1.67101,1.29831,0.5923,0.435,0.47136,0.32903,1.16903,1.30915,1.19079,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486
45,46844.0,1.29738,1.67384,1.29819,0.58316,0.43659,0.47113,0.32891,1.16879,1.30832,1.1907,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288
46,47884.5,1.29879,1.6761,1.2994,0.58372,0.43525,0.47092,0.32898,1.16834,1.30692,1.19017,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
47,48919.8,1.29865,1.67166,1.2999,0.58356,0.43869,0.47073,0.32887,1.16869,1.30691,1.19012,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892
48,49952.4,1.29584,1.66999,1.29623,0.58499,0.44055,0.47124,0.32904,1.16852,1.30612,1.18963,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694
49,50986.6,1.29517,1.67065,1.29739,0.5818,0.44179,0.4715,0.32909,1.16924,1.306,1.19036,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496
50,52028.6,1.29747,1.67207,1.2981,0.5755,0.4432,0.47158,0.32959,1.16925,1.3046,1.19045,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298
51,53064.9,1.29747,1.67022,1.29862,0.58911,0.43793,0.47235,0.3301,1.16985,1.30521,1.19068,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
52,54103.9,1.29614,1.66708,1.29664,0.58416,0.4422,0.47286,0.33047,1.16924,1.30508,1.19017,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902
53,55136.1,1.29582,1.66832,1.29704,0.59245,0.43988,0.47379,0.33072,1.16892,1.30492,1.18963,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704
54,56177.9,1.29601,1.66608,1.29639,0.59542,0.43802,0.47363,0.33037,1.16896,1.30498,1.18926,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506
55,57218.3,1.29588,1.66652,1.29737,0.5985,0.43923,0.47355,0.33046,1.16958,1.30476,1.18981,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308
56,58252.9,1.29467,1.66243,1.29598,0.59803,0.44029,0.47369,0.33065,1.16922,1.30436,1.18946,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
57,59290.6,1.29417,1.66405,1.29676,0.603,0.4397,0.47427,0.3312,1.16898,1.30391,1.18933,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912
58,60326.6,1.29455,1.66596,1.29583,0.59677,0.43973,0.47457,0.33145,1.16836,1.30363,1.18862,0.0266142,0.0088714,0.0266142,0.0088714,0.0266142,0.0088714,0.0266142,0.0088714
59,61364.9,1.29359,1.6615,1.2947,0.59221,0.44221,0.47497,0.33155,1.1681,1.30293,1.1881,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516
60,62405.3,1.29335,1.66091,1.29481,0.59986,0.43814,0.47439,0.3313,1.16834,1.3026,1.18806,0.0264954,0.0088318,0.0264954,0.0088318,0.0264954,0.0088318,0.0264954,0.0088318
61,63443.7,1.29219,1.66268,1.29563,0.60207,0.437,0.4753,0.33168,1.16813,1.3014,1.1878,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
62,64479.8,1.29333,1.66017,1.29536,0.60618,0.43858,0.47541,0.332,1.16872,1.30178,1.18809,0.0263766,0.0087922,0.0263766,0.0087922,0.0263766,0.0087922,0.0263766,0.0087922
